title,indegree
Quantifier Scope In German: An MCTAG Analysis,1
Segmented And Unsegmented Dialogue-Act Annotation With Statistical Dialogue Models,1
Co-Training For Predicting Emotions With Spoken Dialogue Data,1
A New Feature Selection Score For Multinomial Naive Bayes Text Classification Based On KL-Divergence,1
Japanese Sentence Analysis As Argumentation,1
A Flexible Conversational Dialog System For MP3 Player,1
Exploiting Structure for Event Discovery Using the MDI Algorithm,1
ARE: Instance Splitting Strategies For Dependency Relation-Based Information Extraction,1
A Novel Machine Learning Approach For The Identification Of Named Entity Relations,1
Construct State Modification in the Arabic Treebank,1
Combining Utterance-Boundary And Predictability Approaches To Speech Segmentation,1
Morphological Analysis,1
PRC PAKTUS: MUC-3 Test Results And Analysis,1
A Figure Of Merit For The Evaluation Of Web-Corpus Randomness,1
Measuring Semantic Coverage,1
Construction Of Japanese Nominal Semantic Dictionary Using A NOT B Phrases In Corpora,1
Deep Comprehension Generation And Translation Of Weather Forecasts (WEATHRA),1
What Are Meeting Summaries? An Analysis of Human Extractive Summaries in Meeting Corpus,1
Understanding Scene Descriptions As Event Simulations,1
Term-Rewriting As A Basis For A Uniform Architecture In Machine Translation,1
Should Computers Write Spoken Language?,1
Exploiting Linguistic Iconism For Article Selection In Machine Translation,1
Integrating Co-Occurrence Statistics With Information Extraction For Robust Retrieval Of Protein Interactions From Medline,1
A Simple String-Rewriting Formalism For Dependency Grammar,1
Towards A Dependency Parser For Basque,1
Some Notes On Generative Capacity Of Dependency Grammar,1
Multi-word Term Extraction for Bulgarian,1
On The Creative Use Of Language: The Form Of Lexical Resources,1
Generating Event Descriptions With Sage: A Simulation And Generation Environment,1
Markedness And Frequency: A Computational Analysis,1
MACH : A Supersonic Korean Morphological Analyzer,1
A Multilayered Approach To The Handling Of Word Formation,1
u-TBL Lite: A Small Extendible Transformation-Based Learner,1
Designing Spelling Correctors For Inflected Languages Using Lexical Transducers,1
Class-Based Collocations For Word Sense Disambiguation,1
WSD System Based On Specialized Hidden Markov Model (Upv-Shmm-Eaw),1
Discourse Cues for Broadcast News Segmentation,1
Babel: A Testbed for Research in Origins of Language,1
Un Analyseur Syntaxique Interactif Pour La Communication Homme-Machine,1
Integrating A Lexical Database And A Training Collection For Text Categorization,1
Design Tool Combining Keyword Analyzer And Case-Based Parser For Developing Natural Language Database Interfaces,1
A Method Of Utilizing Domain And Language Specific Constraints In Dialogue Translation,1
Tractability And Structural Closures In Attribute Logic Type Signatures,1
Reassessing Rhetorical Abstractions And Planning Mechanisms,1
Simplifying Deterministic Parsing,1
Identifying Perspectives At The Document And Sentence Levels Using Statistical Models,1
Adapting An Example-Based Translation System To Chinese,1
Building A Large Knowledge Base For A Natural Language System,1
Advances In Meeting Recognition,1
GramCheck: A Grammar And Style Checker,1
A Simple Transformation For Online-Parsable Grammars And Its Termination Properties,1
N-Th Order Ergodic Multigram HMM For Modeling Of Languages Without Marked Word Boundaries,1
Evolution And Evaluation Of Document Retrieval Queries,1
Communicating With Multiple Agents,1
SPS: A Formalism For Semantic Interpretation And Its Use In Processing Prepositions That Reference Space,1
Automatic Extraction Of Chinese Multiword Expressions With A Statistical Tool,1
Parsing Aligned Parallel Corpus By Projecting Syntactic Relations From Annotated Source Corpus,1
Linguistic Knowledge Extraction From Real Language Behavior,1
Speech Dialogue With Facial Displays: Multimodal Human-Computer Conversation,1
The Influence Of Tagging On The Classification Of Lexical Complements,1
Massive Disambiguation Of Large Text Corpora With Flexible Categorial Grammar,1
KYOTO: a System for Mining Structuring and Distributing Knowledge across Languages and Cultures,1
A Compression Technique For Arabic Dictionaries: The Affix Analysis,1
A Cognitive Account Of Unbounded Dependency,1
A Pattern-Based Analyzer For French In The Context Of Spoken Language Translation: First Prototype And Evaluation,1
Multi-Word Verbs In A Flective Language: The Case Of Estonian,1
Auditory Speech Preprocessors,1
User-Defined Nonmonotonicity In Unification-Based Formalisms,1
Error Profiling: Toward A Model Of English Acquisition For Deaf Learners,1
Effect of Domain-Specific Corpus in Compositional Translation Estimation for Technical Terms,1
A Note On Typing Feature Structures,1
Commentary On Kaplan And Kay,1
An Evaluation Corpus For Temporal Summarization,1
FactBrowser Demonstration,1
Shared Preferences,1
Compiling Trace And Unification Grammar For Parsing And Generation,1
Using 'smart' Bilingual Projection To Feature-Tag A Monolingual Dictionary,1
Training A Naive Bayes Classifier Via The EM Algorithm With A Class Distribution Constraint,1
Fine-Grained Hidden Markov Modeling For Broadcast-News Story Segmentation,1
Computer-Assisted Translation Systems: The Standard Design And A Multi-Level Design,1
A General Computational Method For Grammar Inversion,1
NUS-ML:Improving Word Sense Disambiguation Using Topic Features,1
Licensing And Tree Adjoining Grammar In Government Binding Parsing,1
Thesauruses For Prepositional Phrase Attachment,1
Multilinguality And Reversibility In Computational Semantic Lexicons,1
Tuples Discontinuity And Gapping In Categorial Grammar,1
Web Corpus Mining By Instance Of Wikipedia,1
Multi-slot semantics for natural-language call routing systems,1
Phonological Rules For A Text To Speech Sytem,1
A Framework Based on Graphical Models with Logic for Chinese Named Entity Recognition,1
Implicitness As A Guiding Principle In Machine Translation,1
Panel: Parallel Processing In Computational Linguistics,1
Anaphoric Reference To Events And Actions: A Representation And Its Advantages,1
Machine Learning Approach to Augmenting News Headline Generation,1
Interactive Authoring Of Logical Forms For Multilingual Generation,1
Incremental Generation Of Multimodal Deixis Referring To Objects,1
Reversibility And Re-Usability Of Resources In NLG And Natural Language Dialog Systems,1
Much ado about nothing: A social network model of Russian paradigmatic gaps,1
Evaluating CETEMPublico A Free Resource For Portuguese,1
Answer Generation With Temporal Data Integration,1
A Comparison Of Speech And Typed Input,1
The Design Of A Spoken Language Interface,1
Verb Paradigms For Sentence Recognition,1
Aspectual Requirements Of Temporal Connectives: Evidence For A Two-Level Approach To Semantics,1
A Model For The Interaction Of Lexical And Non-Lexical Knowledge In The Determination Of Word Meaning,1
Acquiring And Representing Semantic Information In A Lexical Knowledge Base,1
Redefining The Level Of The Word,1
Development Of The Concept Dictionary Implementation Of Lexical Knowledge,1
Blueprint For A High Performance NLP Infrastructure,1
The Talent System: TEXTRACT Architecture And Data Model,1
Discourse Chunking: A Tool In Dialogue Act Tagging,1
Automatic Creation Of Interface Specifications From Ontologies,1
Answering Definition Questions via Temporally-Anchored Text Snippets,1
A Transformational-Based Learner For Dependency Grammars In Discharge Summaries,1
Enhanced Natural Language Access To Anatomically-Indexed Data,1
Accenting Unknown Words In A Specialized Language,1
Systemic Classification And Its Efficiency,1
CUNIT: A Semantic Role Labeling System for Modern Standard Arabic,1
CLR: Integration of FrameNet in a Text Representation System,1
Developing A New Grammar Checker For English As A Second Language,1
Software Re-Use And Evolution In Text Generation Applications,1
Integrating Linguistic Knowledge In Passage Retrieval For Question Answering,1
Meinongian Semantics For Propositional Semantic Networks,1
Enhancing Performance Of Protein Name Recognizers Using Collocation,1
Coupling An Automatic Dictation System With A Grammar Checker,1
Experiments With Corpus-Based LFG Specialization,1
Assigning Verbs To Semantic Classes Via WordNet,1
Forum On Machine Translation: Machine Translation Will Not Work,1
Learning To Disambiguate Potentially Subjective Expressions,1
Man-Assisted Machine Construction Of A Semantic Dictionary For Natural Language Processing,1
The Italian Lexical Sample Task At Senseval-3,1
Gestural Cohesion for Topic Segmentation,1
Prepositional Phrase Attachment Through A Hybrid Disambiguation Model,1
Towards A New Generation Of Terminological Resources: An Experiment In Building A Terminological Knowledge Base,1
International Standards For Multilingual Resource Sharing: The ISLE Computational Lexicon Working Group,1
An Education And Research Tool For Computational Semantics,1
A Case Study in Automatic Building of Wordnets,1
Dialogue Management In The Agreement Negotiation Process: A Model That Involves Natural Reasoning,1
Syntagmatic Kernels: A Word Sense Disambiguation Case Study,1
Integrating Natural Language Components Into Graphical Discourse,1
Passives,1
Computing Story Trees,1
CogentHelp: NLG Meets SE In A Tool For Authoring Dynamically Generated On-Line Help,1
Integrating Cross-Lingually Relevant News Articles And Monolingual Web Documents In Bilingual Lexicon Acquisition,1
Scaled Log Likelihood Ratios For The Detection Of Abbreviations In Text Corpora,1
An Annotation System For Enhancing Quality Of Natural Language Processing,1
Integrating Semantics And Flexible Syntax By Exploiting Isomorphism Between Grammatical And Semantical Relations,1
The Uptake Of Online Tools And Web-Based Language Resources By Freelance Translators: Implications For Translator Training Professional Development And Research,1
Learning Table Extraction From Examples,1
Test-Score Semantics For Natural Languages,1
Using a Partially Annotated Corpus to Build a Dependency Parser for Japanese,1
Online Learning for Deterministic Dependency Parsing,1
Converser (TM): Highly Interactive Speech-To-Speech Translation For Healthcare,1
Ranking Reader Emotions Using Pairwise Loss Minimization and Emotional Distribution Regression,1
RACAIs Linguistic Web Services,1
Integrating Natural Language Generation With The Apache Cocoon XML Server,1
Event-Coreference Across Multiple Multi-Lingual Sources In The Mumis Project,1
An Empirical Approach to a Preliminary Successful Identification and Resolution of Temporal Expressions in Spanish News Corpora,1
Annotation of WordNet Verbs with TimeML Event Classes,1
Principles Of Template Design,1
An Approach to Reducing Annotation Costs for BioNLP,1
Speech Understanding And Dialogue Over The Telephone: An Overview Of The ESPRIT SUNDIAL Project,1
Implementing The Binding And Accommodation Theory For Anaphora Resolution And Presupposition Projection,1
An Efficient Context-Free Parser For Augmented Phrase-Structure Grammars,1
Planning Natural Language Referring Expressions,1
Coping With Dynamic Syntactic Strategies: An Experimental Environment For An Experimental Parser,1
Chart Parsing And Constraint Programming,1
Can Computers Handle Adverbs?,1
Prolexbase: a Multilingual Relational Lexical Database of Proper Names,1
A Framework for Standardized Syntactic Annotation,1
Corpus-Based Annotated Test Set For Machine Translation Evaluation By An Industrial User,1
An Automatic Reviser: The TransCheck System,1
A Method Of Translating English Delexical Structures Into Japanese,1
Segmentation Standard For Chinese Natural Language Processing,1
Automated Interpretation Of Clinical Encounters With Cultural Cues And Electronic Health Record Generation,1
Cluster Stopping Rules For Word Sense Discrimination,1
Language Resources For The Semantic Web: Perspectives For Machine Translation,1
Fasil Email Summarisation System,1
Building Parallel Corpora For EContent Professionals,1
An Integrated Method For Chinese Unknown Word Extraction,1
Multi-Component TAG And Notions Of Formal Power,1
Empirical Acquisition Of Differentiating Relations From Definitions,1
Don't worry about metaphor: affect detection for conversational agents,1
UP13: Knowledge-poor Methods (Sometimes) Perform Poorly,1
A Feature Based Approach to Leveraging Context for Classifying Newsgroup Style Discussion Segments,1
Automatic New Word Acquisition: Spelling From Acoustics,1
Language Resources For A Network-Based Dictionary,1
Speaker Adaptation Using Multiple Reference Speakers,1
Belief Ascription And Model Generative Reasoning: Joining Two Paradigms To A Robust Parser Of Messages,1
Computational Lexical Semantics Incrementality And The So-Called Punctuality Of Events,1
A Computational Model Of Incremental Utterance Production In Task-Oriented Dialogues,1
Efficient Parsing For French,1
A Hybrid Approach To Biomedical Named Entity Recognition And Semantic Role Labeling,1
Disambiguation By Information Structure In DRT,1
UPV-SI: Word Sense Induction using Self Term Expansion,1
An Equivalent Pseudoword Solution To Chinese Word Sense Disambiguation,1
N-gram Weighting: Reducing Training Data Mismatch in Cross-Domain Language Model Estimation,1
A Method For Open-Vocabulary Speech-Driven Text Retrieval,1
Structural Correspondence Specification Environment,1
Lexicalization Of Probabilistic Grammars,1
Methodology And Verifiability In Montague Grammar,1
Arabic Script-Based Languages Deserve To Be Studied Linguistically,1
From Shallow To Deep Parsing Using Constraint Satisfaction,1
Word And Object In Disease Descriptions,1
UC3M\_13: Disambiguation of Person Names Based on the Composition of Simple Bags of Typed Terms,1
A Generic Collaborative Platform For Multilingual Lexical Database Development,1
WASPBENCH: A Lexicographer's Workbench Incorporating State-Of-The-Art Word Sense Disambiguation,1
Improving Text Retrieval Precision and Answer Accuracy in Question Answering Systems,1
Word Segmentation And Named Entity Recognition For SIGHAN Bakeoff3,1
k-NN For Local Probability Estimation In Generative Parsing Models,1
Deriving Rhetorical Complexity Data from the RST-DT Corpus,1
Statistical Shallow Semantic Parsing Despite Little Training Data,1
Acquisition Of Lexical Paraphrases From Texts,1
LESK: A Language Synthetizing Natural Language Computer Language And Logic,1
Understanding Complex Visually Referring Utterances,1
Word Sense Disambiguation With Pictures,1
Adapting the RASP System for the CoNLL07 Domain-Adaptation Task,1
Grounding Word Meanings In Sensor Data: Dealing With Referential Uncertainty,1
Why Can't Jose Read? The Problem Of Learning Semantic Associations In A Robot Environment,1
A Mathematical Model Of The Vocabulary-Text Relation,1
A Self-Learning System For The Chinese Characters,1
Three Typed Pragmatics For Dialogue Structure Analysis,1
Automatically Inducing a Part-of-Speech Tagger by Projecting from Multiple Source Languages Across Aligned Corpora,1
Talking Through Procedures: An Intelligent Space Station Procedure Assistant,1
SUPPLE: A Practical Parser For Natural Language Engineering Applications,1
On The Preservation Of Context-Free Languages In A Level-Based System,1
Planning Word-Order Dependant Focus Assignments,1
Integrating Punctuation Rules and Naďve Bayesian Model for Chinese Creation Title Recognition,1
Linguistic Processing Using A Dependency Structure Grammar For Speech Recognition And Understanding,1
A Process-Activation Based Parsing Algorithm For The Development Of Natural Language Grammars,1
Parsing Word-Aligned Parallel Corpora In A Grammar Induction Context,1
An Empirical Study On The Generation Of Zero Anaphors In Chinese,1
Drawing Pictures With Natural Language And Direct Manipulation,1
Generation Production And Translation,1
Multidimensional Dialogue Management,1
Resolution Of Referents Groupings In Practical Dialogues,1
A Two-Level Knowledge Representation For Machine Translation: Lexical Semantics And Tense/Aspect,1
An Automatic Processing Of The Natural Language In The Word Count System,1
Recent Progress On The SUMMIT System,1
Extending The Lexicon By Exploiting Subregularitles*,1
Comparison Of Similarity Models For The Relation Discovery Task,1
An Algorithm To Co-Ordinate Anaphora Resolution And PPS Disambiguation Process,1
Linguistic Distances,1
Cooperative Error Handling And Shallow Processing,1
Automatic Lexical Acquisition Based On Statistical Distributions,1
Learning Constraint Grammar-style Disambiguation Rules using Inductive Logic Programming,1
Natural Languages And The Chomsky Hierarchy,1
Segmenting Speech Without A Lexicon: The Roles Of Phonotactics And Speech Source,1
A Phonological Processor For Italian,1
AnCora-Verb: A Lexical Resource for the Semantic Annotation of Corpora,1
A Trainable Method For Extracting Chinese Entity Names And Their Relations,1
Evaluating Centering For Sentence Ordering In Two New Domains,1
Abstract Control Structures And The Semantics Of Quantifiers,1
I saw TREE trees in the park: How to Correct Real-Word Spelling Mistakes,1
A first order semantic approach to adjectival inference,1
Computational Linguistics And Its Use In Real World: The Case Of Computer Assisted-Language Learning,1
Generating Peripheral Rhetorical Devices By Consulting A User Model,1
A Computational Treatment Of Coordinate Conjunctions,1
A Word-Order Database For Testing Computational Models Of Language Acquisition,1
Chinese Named Entity Recognition with Cascaded Hybrid Model,1
A Machine Learning Approach To Extract Temporal Information From Texts In Swedish And Generate Animated 3D Scenes,1
Language Dynamics and Capitalization using Maximum Entropy,1
L'Analyse Logique Des Temps Du Passe En Francais Comment On Peut Appliquer La Distinction Entre Nom De Matiere Et Nom Comptable Aux Temps Du Verbe,1
Improving the Performance of the Random Walk Model for Answering Complex Questions,1
MELB-KB: Nominal Classification as Noun Compound Interpretation,1
Dimensions of Subjectivity in Natural Language,1
LCC-SRN: LCC's SRN System for SemEval 2007 Task 4,1
The Measurement Of Phonetic Similarity,1
Relative Semantic Complexity In Lexical Units,1
Learning Information Structure In The Prague Treebank,1
Backwards Phonology,1
Machine-Readable Dictionaries,1
The Types And Distributions Of Errors In A Wide Coverage Surface Realizer Evaluation,1
Speech Recognition Of Czech - Inclusion Of Rare Words Helps,1
Partial Descriptions And Systemic Grammar,1
Phonological Processing Of Speech Variants,1
Processing Case,1
Narratological Knowledge For Natural Language Generation,1
UCD-FC: Deducing semantic relations using WordNet senses that occur frequently in a database of noun-noun compounds,1
Corpus-Oriented Development Of Japanese HPSG Parsers,1
An Editor For The Explanatory And Combinatory Dictionary Of Contemporary French (DECFC),1
Translating Compounds by Learning Component Gloss Translation Models via Multiple Languages,1
On Formalizations Of Marcus' Parser,1
A Tractable Extension Of Linear Indexed Grammars,1
TIPSTER Information Extraction Evaluation: The MUC-7 Workshop,1
The Rumors System Of Russian Synthesis,1
Towards Finding And Fixing Fragments: Using ML To Identify Non-Sentential Utterances And Their Antecedents In Multi-Party Dialogue,1
Multidimensional Markup And Heterogeneous Linguistic Resources,1
Thematic segmentation of texts: two methods for two kinds of texts,1
YAG: A Template-Based Generator For Real-Time Systems,1
Semantic-Based Parsing And A Natural-Language Interface For Interactive Data Management,1
Document Re-Ranking Based On Automatically Acquired Key Terms In Chinese Information Retrieval,1
Temporal Structure Of Discourse,1
Zero Pronouns As Experiencer In Japanese Discourse,1
Language And Computers: Creating An Introduction For A General Undergraduate Audience,1
The Primordial Soup Algorithm A Systematic Approach To The Specification Of Parallel Parsers,1
A General System For Semantic Analysis Of English And Its Use In Drawing Maps From Directions,1
Transformational Decomposition: A Simple Description Of An Algorithm For Transformational Analysis Of English Sentences,1
Multilingual Harvesting of Cross-Cultural Stereotypes,1
A Unification-Based Parser For Relational Grammar,1
Assigning A Semantic Scope To Operators,1
Telling Temporal Locating Adverbials And Time-Denoting Expressions Apart,1
Planning Multimodal Discourse,1
Web-Based Interfaces For Natural Language Processing Tools,1
DARPA February 1992 Pilot Corpus CSR Dry Run Benchmark Test Results,1
Rhetorical Structure In Dialog,1
Parallel Multiple Context-Free Grammars Finite-State Translation Systems And Polynomial-Time Recognizable Subclasses Of Lexical-Functional Grammars,1
An Evaluation Of The Usefulness Of Machine Translations Produced At The National Physical Laboratory Teddington With A Summary Of The Translation Methods,1
Revealing Phonological Similarities Between Related Languages From Automatically Generated Parallel Corpora,1
Frameworks Implementation And Open Problems For The Collaborative Building Of A Multilingual Lexical Database,1
Towards A Noise-Tolerant Representation-Independent Mechanism For Argument Interpretation,1
Multi-Answer-Focused Multi-Document Summarization Using A Question-Answering Engine,1
Machine-Assisted Rhetorical Structure Annotation,1
Data-driven Language Independent Word Segmentation Using Character-Level Information,1
Creating a Systemic Functional Grammar Corpus from the Penn Treebank,1
Introduction To Frontiers In Corpus Annotation,1
Syntax To Semantics Transformation: Application To Treebanking,1
Toward A Large Spontaneous Mandarin Dialogue Corpus,1
On Statistical Parameter Setting,1
Reconciling Initiative And Discourse Structure,1
Refining Tabular Parsers For TAGs,1
Conversational Implicatures,1
Perceptron Learning for Chinese Word Segmentation,1
Report to BMM-based Chinese Word Segmentor with Context-based Unknown Word Identifier for the Second International Chinese Word Segmentation Bakeoff,1
Learning Optimal Dialogue Management Rules By Using Reinforcement Learning And Inductive Logic Programming,1
Context-Sensitive Electronic Dictionaries,1
BLEU+: a Tool for Fine-Grained BLEU Computation,1
SOAT: A Semi-Automatic Domain Ontology Acquisition Tool From Chinese Corpus,1
A Prolegomenon To Situation Semantics,1
Validation and Regression Testing for a Cross-linguistic Grammar Resource,1
The Spanish Resource Grammar: Pre-processing Strategy and Lexical Acquisition,1
English-To-Mandarin Speech Translation With Head Transducers,1
Extracting a Verb Lexicon for Deep Parsing from FrameNet,1
The Effects Of Word Order And Segmentation On Translation Retrieval Performance,1
Selectional Restrictions In HPSG,1
Learning Word Clusters From Data Types,1
Towards Translating Spoken Language Pragmatics In An Analogical Framework,1
Using Categories In The EUTRANS System,1
Learning How To Answer Questions Using Trivia Games,1
Lenient Default Unification For Robust Processing Within Unification Based Grammar Formalisms,1
Automatic Acquisition Of English Topic Signatures Based On A Second Language,1
Handling Unlike Coordinated Phrases In TAG By Mixing Syntactic Category And Grammatical Function,1
Experiments on Semantic-based Clustering for Cross-document Coreference,1
Cross Language Text Categorization Using a Bilingual Lexicon,1
Translation Using Information On Dialogue Participants,1
Named Entity Extraction With Conditional Markov Models And Classifiers,1
Automatic Identification of Important Segments and Expressions for Mining of Business-Oriented Conversations at Contact Centers,1
Exploiting Contextual Information In Hypothesis Selection For Grammar Refinement,1
EFLUF - An Implementation Of A FLexible Unification Formalism,1
Hdrug: A Flexible And Extendible Development Environment For Natural Language Processing,1
Language Model Adaptation With Additional Text Generated By Machine Translation,1
Summarizing Multilingual Spoken Negotiation Dialogues,1
Memory-Efficient And Thread-Safe Quasi-Destructive Graph Unification,1
A Polynomial-Time Fragment Of Dominance Constraints,1
Hidden Markov Model-Based Korean Part-Of-Speech Tagging Considering High Agglutinativity Word-Spacing And Lexical Correlativity,1
LHIP: Extended DCGs For Configurable Robust Parsing,1
MORPHO-ASSISTANT: The Proper Treatment Of Morphological Knowledge,1
Positing And Resolving Bridging Anaphora In Deverba! NPs,1
Robust Dialog Management with N-Best Hypotheses Using Dialog Examples and Agenda,1
Enhancing Performance of Lexicalised Grammars,1
Concurrent Lexicalized Dependency Parsing: A Behavioral View On ParseTalk Events,1
ITP: Description Of The INTERPRETEXT System As Used For MUC-3,1
On The Mathematical Properties Of Linguistic Theories,1
PEAS The First Instantiation Of A Comparative Framework For Evaluating Parsers Of French,1
Mcdonnell Douglas Electronic Systems Company: Description Of The INLET System Used For MUC-3,1
Automatic Prosodic Labeling with Conditional Random Fields and Rich Acoustic Features,1
Conjunctions And Modularity In Language Analysis Procedures,1
Evaluation of a Cross-lingual Romanian-English Multi-document Summariser,1
Automatic Construction of Frame Representations for Spontaneous Speech in Unrestricted Domains,1
Discriminating The Registers And Styles In The Modern Greek Language,1
Semantic Tagging For Resolution Of Indirect Anaphora,1
A Study On Automatically Extracted Keywords In Text Categorization,1
A Comparison And Semi-Quantitative Analysis Of Words And Character-Bigrams As Features In Chinese Text Categorization,1
Teaching Computational Linguistics to a Large Diverse Student Body: Courses Tools and Interdepartmental Interaction,1
A Filter-Based Approach to Detect End-of-Utterances from Prosody in Dialog Systems,1
Document Similarity Measures to Distinguish Native vs.\ Non-Native Essay Writers,1
Enriching Spoken Language Translation with Dialog Acts,1
Generation Of Vietnamese For French-Vietnamese And English-Vietnamese Machine Translation,1
Speaker Adaptation From Limited Training In The BBN BYBLOS Speech Recognition System,1
A Model For Multimodal Reference Resolution,1
Recent Model-Based And Model-Related Studies Of A Large Scale Lexical Resource,1
Extracting and Querying Relations in Scientific Papers on Language Technology,1
Speech And Text-Image Processing In Documents,1
European Language Translation with Weighted Finite State Transducers: The CUED MT System for the 2008 ACL Workshop on SMT,1
French Amalgam: A Quick Adaptation Of A Sentence Realization System To French,1
Tor TorMd: Distributional Profiles of Concepts for Unsupervised Word Sense Disambiguation,1
Toward Evaluation Of Writing Style: Overly Repetitious Word Use,1
The Design Of Voice-Driven Interfaces,1
Text Categorization Using Feature Projections,1
UA-ZSA: Web Page Clustering on the basis of Name Disambiguation,1
Feasibility Study for Ellipsis Resolution in Dialogues by Machine-Learning Technique,1
ATNS Used As A Procedural Dialog Model,1
The Influence Of Argument Structure On Semantic Role Assignment,1
A Large-Scale Web Data Collection as a Natural Language Processing Infrastructure,1
Comparing Corpora And Lexical Ambiguity,1
Structured Meanings In Computational Linguistics,1
Using Bins To Empirically Estimate Term Weights For Text Categorization,1
Semantic Rule Based Text Generation,1
When Is The Next ALPAC Report Due?,1
Acquiring Synonyms from Monolingual Comparable Texts,1
Minority Vote: At-Least-N Voting Improves Recall For Extracting Relations,1
A Logical Formalism For The Representation Of Determiners,1
Clustering MeSH Representations Of Biomedical Literature,1
Generation In The LOLITA System: An Engineering Approach,1
A Pipeline Framework For Dependency Parsing,1
On Aligning Trees,1
On The Prepositions Which Introduce An Adjunct Of Duration,1
Inducing Combinatory Categorial Grammars with Genetic Algorithms,1
An Implementation of Combined Partial Parser and Morphosyntactic Disambiguator,1
QPATR And Constraint Threading,1
On Parsing Strategies And Closure,1
An Annotated Corpus In Japanese Using Tesniere's Structural Syntax,1
Flexible Parsing Of Discretely Uttered Sentences,1
Chinese Word Segmentation By Classification Of Characters,1
Transformation Of Natural Language Into Logical Formulas,1
Automatic Identification Of English Verb Particle Constructions Using Linguistic Features,1
The R2D2 Team At Senseval-3,1
Would I Lie To You? Modelling Misrepresentation And Context In Dialogue,1
Building Domain-Specific Taggers without Annotated (Domain) Data,1
Context Modeling For Language And Speech Generation,1
A Measure Of Aggregate Syntactic Distance,1
Linguistic Variation And Computation (Invited Talk),1
Some Computational Aspects Of Situation Semantics,1
Using An Open-Source Unification-Based System For CL/NLP Teaching,1
A Lemma-Based Approach To A Maximum Entropy Word Sense Disambiguation System For Dutch,1
Term Aggregation: Mining Synonymous Expressions Using Personal Stylistic Variations,1
Pre-CODIE - Crosslingual On-Demand Information Extraction,1
Speechalator: Two-Way Speech-To-Speech Translation In Your Hand,1
Modeling Vocal Interaction for Text-Independent Participant Characterization in Multi-Party Conversation,1
Using Dialogue Representations For Concept-To-Speech Generation,1
A Compact Architecture For Dialogue Management Based On Scripts And Meta-Outputs,1
Creating A Finite-State Parser With Application Semantics,1
A Frame-Based Probabilistic Framework for Spoken Dialog Management Using Dialog Examples,1
Polibox: Generating Descriptions Comparisons And Recommendations From A Database,1
Experimental Fast-Tracking of Morphological Analysers for Nguni Languages,1
Characterizing Response Types And Revealing Noun Ambiguity In German Association Norms,1
Acquiring Domain-Specific Dialog Information from Task-Oriented Human-Human Interaction through an Unsupervised Learning,1
A View Of Parsing,1
Cross Linguistic Phoneme Correspondences,1
ASSIST: Automated Semantic Assistance For Translators,1
SimSum: Simulation Of Summarizing,1
Computing Term Translation Probabilities With Generalized Latent Semantic Analysis,1
The GOD Model,1
Automatic Annotation For All Semantic Layers In FrameNet,1
Perspectives On Parsing Issues,1
Computing Optimal Descriptions For Optimality Theory Grammars With Context-Free Position Structures,1
Comparing Corpora With WordSmith Tools: How Large Must The Reference Corpus Be?,1
Graph Branch Algorithm: An Optimum Tree Search Method For Scored Dependency Graph With Arc Co-Occurrence Constraints,1
Canonical Representation In NLP System Design: A Critical Evaluation,1
SHEF: Semantic Tagging and Summarization Techniques Applied to Cross-document Coreference,1
TITPI: Web People Search Task Using Semi-Supervised Clustering Approach,1
Verb Subcategorization Kernels For Automatic Semantic Labeling,1
Language Learning As Problem Solving,1
Self-Organizing Markov Models And Their Application To Part-Of-Speech Tagging,1
Entailment and Anaphora Resolution in RTE3,1
An Application Of An Extended Generative Semantic Model Of Language To Man-Machine Interaction,1
Probabilistic Models for Korean Morphological Analysis,1
Corpus-based Semantic Relatedness for the Construction of Polish WordNet,1
its-2 : An Interactive Personal Translation System,1
Pronoun Resolution In Japanese Sentences Using Surface Expressions And Examples,1
Thesaurus-Based Efficient Example Retrieval By Generating Retrieval Queries From Similarities,1
When Is An Embedded MT System Good Enough For Filtering?,1
Inflectional Syncretism And Corpora,1
Taxonomy Descriptions And Individuals In Natural Language Understanding,1
Towards User-Adaptive Annotation Guidelines,1
At Your Service: Embedded MT As A Service,1
A Framework For Incorporating Alignment Information In Parsing,1
Induction Of Cross-Language Affix And Letter Sequence Correspondence,1
Automatic Verb Classification Using Multilingual Resources,1
Automated Induction Of Sense In Context,1
Combining A Self-Organising Map With Memory-Based Learning,1
The Research Of Word Sense Disambiguation Method Based On Co-Occurrence Frequency Of Hownet,1
Enhancement Of A Chinese Discourse Marker Tagger With C4.5,1
Language Acquisition: Coping With Lexical Gaps,1
RACAI: Meaning Affinity Models,1
Towards Metadata Interoperability,1
Identifying Cross-Document Relations between Sentences,1
Interaction Of Tools And Metadata-Descriptions For Multimedia Language Resources,1
Combinatorial Disambiguation,1
The TELRI Tool Catalogue: Structure And Prospects,1
SiSSA - An Infrastructure For NLP Application Development,1
Answering Questions Using Advanced Semantics And Probabilistic Inference,1
How To Define A Context-Free Backbone For DGs: Implementing A DG In The LFG Formalism,1
ISTART: Paraphrase Recognition,1
Applying Natural Language Generation To Indicative Summarization,1
Predicting And Managing Spoken Disfluencies During Human-Computer Interaction,1
The Typology Of Unknown Words: An Experimental Study Of Two Corpora,1
Dynamic User Level And Utility Measurement For Adaptive Dialog In A Help-Desk System,1
Expanding The Domain Of A Multi-Lingual Speech-To-Speech Translation System,1
Six Issues In Speech Translation,1
